LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
20ac3d59505b0b59268fa9dbfa6983a5cb81fb7cf7bbe57a9c69ed51d35f6b06,1,Draught proofing,Draught proofing,10,,£80 - £120
20ac3d59505b0b59268fa9dbfa6983a5cb81fb7cf7bbe57a9c69ed51d35f6b06,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
20b70151a3bcae5782c76850a2acd8acb63184c9e32d565561206c204ecf544a,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
2106cd53c0adf0ca004bd1deedd8d9ade2c9c9b679eb5ef79ec906a252e7afec,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
2106cd53c0adf0ca004bd1deedd8d9ade2c9c9b679eb5ef79ec906a252e7afec,2,Hot water cylinder thermostat,Hot water cylinder thermostat,4,,£200 - £400
2106cd53c0adf0ca004bd1deedd8d9ade2c9c9b679eb5ef79ec906a252e7afec,3,Heating controls (room thermostat),Heating controls (room thermostat),14,,£350 - £450
212dd1056ab32bbeef78dd319e6490b9e02245c6cb750b32eea3e600caf50b7c,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
212dd1056ab32bbeef78dd319e6490b9e02245c6cb750b32eea3e600caf50b7c,2,High performance external doors,High performance external doors,48,,"£1,000"
214740bab24f63003446c357eca6b4f2274389de66dc32c9c49c7d3dbb9ee62f,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
214d512bb3c15b9ec5bf796627d9cd60cb748e7fd6cfc7bbc87618b3e5ed45c4,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
214d512bb3c15b9ec5bf796627d9cd60cb748e7fd6cfc7bbc87618b3e5ed45c4,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£25
215551ac4c7ef02dc78a839bfe6a34f83a7c59f0c36af0da20821e3d60b580a4,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
215b2a2e1faf30facc7cb79307abfc637861d86dd0d1d0d59e325670a416aa73,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
2176f2b29d3a0918dbbee56925ef32fc45ead5061564679edd0d4218e7ff2656,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
219a48c02f0495491bc2e5630c7257437094617cf7d59325e505f6e8b20e725b,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
