OBJECTID,NAME,ESTATE_NAM,ESTATE_COD,Shape__Area,Shape__Length
204,BROADHINTON COURT FLATS,BROADHINTON COURT FLATS,EB015,1196.93249511719,150.298799616503
205,BROCKWELL COURT FLATS,BROCKWELL COURT FLATS,EB016,3509.73249816895,243.03994308441
206,CALIDORE CLOSE,CALIDORE CLOSE ESTATE,EB017,4411.82321166992,368.309217955271
207,CANDIDE LODGE,CANDIDE LODGE ESTATE,EB018,744.51375579834,114.735532243178
208,CARLTON MANSIONS FLATS,CARLTON MANSIONS FLATS,EB020,530.681243896484,118.014358933733
209,CAUTLEY AVENUE FLATS,CAUTLEY AVENUE FLATS,EB021,2781.86833953857,326.222232749738
210,FRAZIER STREET,FRAZIER STREET ESTATE,EB049,1337.2914276123,290.416881444883
211,GREENHAM CLOSE,GREENHAM CLOSE ESTATE,EB055,9642.22874450684,477.937986132064
212,HARLEYFORD COURT,HARLEYFORD COURT ESTATE,EB059,1055.86550140381,138.041698746313
213,HOLLAND GROVE SHELTERED,HOLLAND GROVE SHELTERED,EB063,2975.06027984619,241.365849033132
214,IVY VILLAS,IVY VILLAS ESTATE,EB065,138.044998168945,65.1136160955022
215,KNIGHTS WALK,KNIGHTS WALK ESTATE,EB070,9176.08908081055,468.204322230726
216,LAMBETH WALK,LAMBETH WALK ESTATE,EB071,3668.22663116455,242.718889457899
217,LANSCOMBE,LANSCOMBE ESTATE,EB073,590.387001037598,146.01634046534
218,PHYLLIS VILLAS,PHYLLIS VILLAS ESTATE,EB090,136.903739929199,64.9775361846364
219,RITA ROAD,RITA ROAD ESTATE,EB093,576.73999786377,98.9950869714203
220,SOUTH ISLAND PLACE,SOUTH ISLAND PLACE ESTATE,EB103,1095.17041778564,151.764712429763
221,THORNE ROAD,THORNE RD ESTATE,EB112,1551.85751342773,193.522579390189
222,TRADESCANT,TRADESCANT ESTATE,EB113,747.358741760254,120.940319516839
223,UNION ROAD,UNION ROAD ESTATE,EB114,3181.48468780518,234.486845802768
224,WALNUT TREE WALK,WALNUT TREE WALK ESTATE,EB116,1567.46566772461,170.768317793499
225,BENTONS LANE,BENTONS LANE ESTATE,EA007,23584.5666122437,924.025207411028
226,BERRIDGE ROAD,BERRIDGE ROAD ESTATE,EA008,33926.1396942139,1045.78077287092
227,BLOOMFIELD,BLOOMFIELD ESTATE,EA011,74370.9074630737,1236.93105002091
228,DERONDA,DERONDA ESTATE,EA038,32607.1088943481,1104.2404660094
229,FERN LODGE,FERN LODGE ESTATE,EA045,23967.2124481201,689.456917109782
230,HAINTHORPE,HAINTHORPE ESTATE,EA050,22800.3729095459,686.980403749238
231,CENTRAL HILL,CENTRAL HILL ESTATE,EA023,66721.0500183105,1857.92545899692
